Altium Designer Pick and Place Locations
D:\Hardware_Yuelu\Dart_Controller\Project Outputs for Dart_Controller\Pick Place for Dart_Controller_PCB.csv

========================================================================================================================
File Design Information:

Date:       16/01/25
Time:       16:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Head_LED","XT30UPB-F","TopLayer","XT30UPB-F","2845.000","880.000","90","母头(立式)"
"U6","Digital_Transfer","BottomLayer","Digital_Transfer","1970.000","890.000","0","数传"
"UART","GH1.25-4P-LS","TopLayer","GH1.25-LS-4P","2415.000","1431.693","180","GH1.25-4P-LS"
"SWD","MX1.25-LS","TopLayer","MX_1.25-LS-4P","2818.000","419.457","90","MX1.25-LS"
"SW2","SS-12D10L5","TopLayer","SW-TH_SS-12D10L5","470.040","170.000","0","滑动开关"
"R18","10K/0603","TopLayer","R_0603_M","340.000","865.000","90","贴片电阻"
"R17","1K/0603","TopLayer","R_0603_M","285.000","865.000","90","贴片电阻"
"R16","2.2K/0603","TopLayer","R_0603_M","550.000","865.000","90","贴片电阻"
"R15","2.2K/0603","TopLayer","R_0603_M","605.000","865.000","270","贴片电阻"
"Q3","SS8050","TopLayer","SOT23-3L","447.402","864.646","0","高频放大-NPN型"
"Q2","WSD30L120DN56","BottomLayer","POWERVDFN-8_L6.0-W5.0-P1.27-BL","335.000","710.000","180","P沟道场效应管"
"XT1","12MHz","TopLayer","XTAL_3225_4P","2224.724","1237.401","0","无源晶振/外接20pf负载电容"
"U5","TLV9062IDR","TopLayer","SOP8_N","986.654","975.000","0","运算放大器"
"U4","MPU925","BottomLayer","JY901B_MPU9250","745.000","970.000","270","MPU925"
"U3","STM32F405RGT6","TopLayer","LQFP64_10x10_N","2105.000","850.500","180","ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 1024 kB Flash, 192 kB Internal RAM, 51 I/Os, 64-pin LQFP, -40 to 85 degC, Tray"
"U2","AMS1117-3.3V","TopLayer","SOT-89","1619.055","558.898","180","LDO"
"U1","TPS5430DDAR","TopLayer","ESOP8","680.591","558.307","180","降压芯片"
"RESET","3x6x5","TopLayer","TSW_SMD-3*6*2.5","1756.157","1460.393","180","3x6轻触开关"
"R14","1K/0603","TopLayer","R_0603_M","725.000","840.000","0","贴片电阻"
"R13","4.7K/0603","TopLayer","R_0603_M","725.000","896.000","0","贴片电阻"
"R12","47R/0603","TopLayer","R_0603_M","725.000","1064.000","180","贴片电阻"
"R11","4.7K/0603","TopLayer","R_0603_M","725.000","952.000","0","贴片电阻"
"R10","1K/0603","TopLayer","R_0603_M","725.000","1008.000","0","贴片电阻"
"R9","10K/0603","TopLayer","R_0603_M","550.000","1023.500","90","贴片电阻"
"R8","510R/0603","TopLayer","R_0603_M","513.500","1130.000","180","贴片电阻"
"R7","10K/0603","TopLayer","R_0603_M","1708.500","795.000","0","贴片电阻"
"R6","10K/0603","TopLayer","R_0603_M","2475.000","920.000","180","贴片电阻"
"R5","10K/0603","TopLayer","R_0603_M","2015.000","1235.000","270","贴片电阻"
"R4","3.9K/0603","TopLayer","R_0603_M","925.000","630.000","180","贴片电阻"
"R3","12K/0603","TopLayer","R_0603_M","925.000","575.000","0","贴片电阻"
"R2","1K/0603","TopLayer","R_0603_M","875.000","1460.000","0","贴片电阻"
"R1","1K/0603","TopLayer","R_0603_M","875.000","1520.000","0","贴片电阻"
"Q1","SS8050","TopLayer","SOT23-3L","445.000","1020.354","180","高频放大-NPN型"
